day,month,date_str,month_name,anniversary_score,years_in_block,avg_block_length,coverage_percent,efficiency_ratio,score_details
21,6,21/06,June,4,1,23.0,2.0,2.0,"{'in_block': 1, 'one_day_away': 0, 'two_days_away': 0, 'other': 49}"
22,6,22/06,June,4,1,23.0,2.0,2.0,"{'in_block': 1, 'one_day_away': 0, 'two_days_away': 0, 'other': 49}"
26,6,26/06,June,4,1,22.0,2.0,2.0,"{'in_block': 1, 'one_day_away': 0, 'two_days_away': 0, 'other': 49}"
27,6,27/06,June,4,1,22.0,2.0,2.0,"{'in_block': 1, 'one_day_away': 0, 'two_days_away': 0, 'other': 49}"
28,6,28/06,June,4,1,22.0,2.0,2.0,"{'in_block': 1, 'one_day_away': 0, 'two_days_away': 0, 'other': 49}"
6,7,06/07,July,4,1,29.0,2.0,2.0,"{'in_block': 1, 'one_day_away': 0, 'two_days_away': 0, 'other': 49}"
7,7,07/07,July,4,1,29.0,2.0,2.0,"{'in_block': 1, 'one_day_away': 0, 'two_days_away': 0, 'other': 49}"
8,7,08/07,July,4,1,29.0,2.0,2.0,"{'in_block': 1, 'one_day_away': 0, 'two_days_away': 0, 'other': 49}"
28,7,28/07,July,4,1,26.0,2.0,2.0,"{'in_block': 1, 'one_day_away': 0, 'two_days_away': 0, 'other': 49}"
29,7,29/07,July,4,1,26.0,2.0,2.0,"{'in_block': 1, 'one_day_away': 0, 'two_days_away': 0, 'other': 49}"
30,7,30/07,July,4,1,26.0,2.0,2.0,"{'in_block': 1, 'one_day_away': 0, 'two_days_away': 0, 'other': 49}"
4,8,04/08,August,4,1,26.0,2.0,2.0,"{'in_block': 1, 'one_day_away': 0, 'two_days_away': 0, 'other': 49}"
5,8,05/08,August,4,1,26.0,2.0,2.0,"{'in_block': 1, 'one_day_away': 0, 'two_days_away': 0, 'other': 49}"
8,8,08/08,August,4,1,26.0,2.0,2.0,"{'in_block': 1, 'one_day_away': 0, 'two_days_away': 0, 'other': 49}"
12,8,12/08,August,4,1,26.0,2.0,2.0,"{'in_block': 1, 'one_day_away': 0, 'two_days_away': 0, 'other': 49}"
14,8,14/08,August,4,1,25.0,2.0,2.0,"{'in_block': 1, 'one_day_away': 0, 'two_days_away': 0, 'other': 49}"
15,8,15/08,August,4,1,25.0,2.0,2.0,"{'in_block': 1, 'one_day_away': 0, 'two_days_away': 0, 'other': 49}"
16,8,16/08,August,4,1,25.0,2.0,2.0,"{'in_block': 1, 'one_day_away': 0, 'two_days_away': 0, 'other': 49}"
20,8,20/08,August,4,1,23.0,2.0,2.0,"{'in_block': 1, 'one_day_away': 0, 'two_days_away': 0, 'other': 49}"
21,8,21/08,August,4,1,23.0,2.0,2.0,"{'in_block': 1, 'one_day_away': 0, 'two_days_away': 0, 'other': 49}"
22,8,22/08,August,4,1,23.0,2.0,2.0,"{'in_block': 1, 'one_day_away': 0, 'two_days_away': 0, 'other': 49}"
24,8,24/08,August,4,1,23.0,2.0,2.0,"{'in_block': 1, 'one_day_away': 0, 'two_days_away': 0, 'other': 49}"
6,9,06/09,September,4,1,28.0,2.0,2.0,"{'in_block': 1, 'one_day_away': 0, 'two_days_away': 0, 'other': 49}"
13,9,13/09,September,4,1,27.0,2.0,2.0,"{'in_block': 1, 'one_day_away': 0, 'two_days_away': 0, 'other': 49}"
16,9,16/09,September,4,1,24.0,2.0,2.0,"{'in_block': 1, 'one_day_away': 0, 'two_days_away': 0, 'other': 49}"
29,9,29/09,September,4,1,26.0,2.0,2.0,"{'in_block': 1, 'one_day_away': 0, 'two_days_away': 0, 'other': 49}"
1,10,01/10,October,4,1,26.0,2.0,2.0,"{'in_block': 1, 'one_day_away': 0, 'two_days_away': 0, 'other': 49}"
8,10,08/10,October,4,1,26.0,2.0,2.0,"{'in_block': 1, 'one_day_away': 0, 'two_days_away': 0, 'other': 49}"
9,10,09/10,October,4,1,26.0,2.0,2.0,"{'in_block': 1, 'one_day_away': 0, 'two_days_away': 0, 'other': 49}"
9,11,09/11,November,4,1,24.0,2.0,2.0,"{'in_block': 1, 'one_day_away': 0, 'two_days_away': 0, 'other': 49}"
10,11,10/11,November,4,1,24.0,2.0,2.0,"{'in_block': 1, 'one_day_away': 0, 'two_days_away': 0, 'other': 49}"
24,11,24/11,November,4,1,26.0,2.0,2.0,"{'in_block': 1, 'one_day_away': 0, 'two_days_away': 0, 'other': 49}"
25,11,25/11,November,4,1,27.0,2.0,2.0,"{'in_block': 1, 'one_day_away': 0, 'two_days_away': 0, 'other': 49}"
21,12,21/12,December,4,1,28.0,2.0,2.0,"{'in_block': 1, 'one_day_away': 0, 'two_days_away': 0, 'other': 49}"
24,6,24/06,June,3,0,0.0,0.0,1.5,"{'in_block': 0, 'one_day_away': 1, 'two_days_away': 1, 'other': 48}"
8,5,08/05,May,2,0,0.0,0.0,1.0,"{'in_block': 0, 'one_day_away': 1, 'two_days_away': 0, 'other': 49}"
15,5,15/05,May,2,0,0.0,0.0,1.0,"{'in_block': 0, 'one_day_away': 1, 'two_days_away': 0, 'other': 49}"
9,6,09/06,June,2,0,0.0,0.0,1.0,"{'in_block': 0, 'one_day_away': 1, 'two_days_away': 0, 'other': 49}"
16,6,16/06,June,2,0,0.0,0.0,1.0,"{'in_block': 0, 'one_day_away': 1, 'two_days_away': 0, 'other': 49}"
2,8,02/08,August,2,0,0.0,0.0,1.0,"{'in_block': 0, 'one_day_away': 1, 'two_days_away': 0, 'other': 49}"
6,8,06/08,August,2,0,0.0,0.0,1.0,"{'in_block': 0, 'one_day_away': 1, 'two_days_away': 0, 'other': 49}"
18,8,18/08,August,2,0,0.0,0.0,1.0,"{'in_block': 0, 'one_day_away': 1, 'two_days_away': 0, 'other': 49}"
7,9,07/09,September,2,0,0.0,0.0,1.0,"{'in_block': 0, 'one_day_away': 1, 'two_days_away': 0, 'other': 49}"
8,9,08/09,September,2,0,0.0,0.0,1.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 2, 'other': 48}"
14,9,14/09,September,2,0,0.0,0.0,1.0,"{'in_block': 0, 'one_day_away': 1, 'two_days_away': 0, 'other': 49}"
18,9,18/09,September,2,0,0.0,0.0,1.0,"{'in_block': 0, 'one_day_away': 1, 'two_days_away': 0, 'other': 49}"
11,10,11/10,October,2,0,0.0,0.0,1.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 2, 'other': 48}"
16,10,16/10,October,2,0,0.0,0.0,1.0,"{'in_block': 0, 'one_day_away': 1, 'two_days_away': 0, 'other': 49}"
13,11,13/11,November,2,0,0.0,0.0,1.0,"{'in_block': 0, 'one_day_away': 1, 'two_days_away': 0, 'other': 49}"
18,11,18/11,November,2,0,0.0,0.0,1.0,"{'in_block': 0, 'one_day_away': 1, 'two_days_away': 0, 'other': 49}"
4,12,04/12,December,2,0,0.0,0.0,1.0,"{'in_block': 0, 'one_day_away': 1, 'two_days_away': 0, 'other': 49}"
14,5,14/05,May,1,0,0.0,0.0,0.5,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 1, 'other': 49}"
8,6,08/06,June,1,0,0.0,0.0,0.5,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 1, 'other': 49}"
15,6,15/06,June,1,0,0.0,0.0,0.5,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 1, 'other': 49}"
22,7,22/07,July,1,0,0.0,0.0,0.5,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 1, 'other': 49}"
1,8,01/08,August,1,0,0.0,0.0,0.5,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 1, 'other': 49}"
10,10,10/10,October,1,0,0.0,0.0,0.5,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 1, 'other': 49}"
17,10,17/10,October,1,0,0.0,0.0,0.5,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 1, 'other': 49}"
12,11,12/11,November,1,0,0.0,0.0,0.5,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 1, 'other': 49}"
8,1,08/01,January,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
9,1,09/01,January,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
10,1,10/01,January,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
11,1,11/01,January,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
12,1,12/01,January,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
13,1,13/01,January,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
14,1,14/01,January,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
15,1,15/01,January,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
16,1,16/01,January,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
17,1,17/01,January,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
18,1,18/01,January,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
19,1,19/01,January,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
20,1,20/01,January,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
21,1,21/01,January,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
22,1,22/01,January,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
23,1,23/01,January,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
24,1,24/01,January,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
25,1,25/01,January,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
26,1,26/01,January,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
27,1,27/01,January,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
28,1,28/01,January,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
29,1,29/01,January,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
30,1,30/01,January,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
31,1,31/01,January,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
1,2,01/02,February,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
2,2,02/02,February,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
3,2,03/02,February,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
4,2,04/02,February,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
5,2,05/02,February,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
6,2,06/02,February,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
7,2,07/02,February,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
8,2,08/02,February,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
9,2,09/02,February,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
10,2,10/02,February,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
11,2,11/02,February,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
12,2,12/02,February,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
13,2,13/02,February,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
14,2,14/02,February,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
15,2,15/02,February,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
16,2,16/02,February,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
17,2,17/02,February,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
18,2,18/02,February,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
19,2,19/02,February,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
20,2,20/02,February,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
21,2,21/02,February,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
22,2,22/02,February,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
23,2,23/02,February,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
24,2,24/02,February,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
25,2,25/02,February,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
26,2,26/02,February,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
27,2,27/02,February,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
28,2,28/02,February,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
1,3,01/03,March,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
2,3,02/03,March,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
3,3,03/03,March,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
4,3,04/03,March,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
5,3,05/03,March,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
6,3,06/03,March,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
7,3,07/03,March,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
8,3,08/03,March,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
9,3,09/03,March,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
10,3,10/03,March,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
11,3,11/03,March,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
12,3,12/03,March,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
13,3,13/03,March,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
14,3,14/03,March,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
15,3,15/03,March,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
16,3,16/03,March,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
17,3,17/03,March,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
18,3,18/03,March,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
19,3,19/03,March,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
20,3,20/03,March,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
21,3,21/03,March,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
22,3,22/03,March,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
23,3,23/03,March,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
24,3,24/03,March,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
25,3,25/03,March,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
26,3,26/03,March,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
27,3,27/03,March,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
28,3,28/03,March,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
29,3,29/03,March,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
30,3,30/03,March,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
31,3,31/03,March,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
1,4,01/04,April,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
2,4,02/04,April,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
3,4,03/04,April,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
4,4,04/04,April,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
5,4,05/04,April,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
6,4,06/04,April,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
7,4,07/04,April,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
8,4,08/04,April,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
9,4,09/04,April,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
10,4,10/04,April,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
11,4,11/04,April,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
12,4,12/04,April,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
13,4,13/04,April,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
14,4,14/04,April,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
15,4,15/04,April,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
16,4,16/04,April,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
17,4,17/04,April,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
18,4,18/04,April,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
19,4,19/04,April,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
12,5,12/05,May,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
13,5,13/05,May,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
26,5,26/05,May,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
27,5,27/05,May,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
28,5,28/05,May,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
2,6,02/06,June,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
3,6,03/06,June,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
4,6,04/06,June,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
5,6,05/06,June,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
6,6,06/06,June,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
7,6,07/06,June,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
13,6,13/06,June,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
14,6,14/06,June,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
18,6,18/06,June,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
19,6,19/06,June,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
23,6,23/06,June,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
30,6,30/06,June,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
4,7,04/07,July,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
5,7,05/07,July,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
23,7,23/07,July,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
31,7,31/07,July,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
13,8,13/08,August,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
17,8,17/08,August,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
23,8,23/08,August,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
9,9,09/09,September,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
25,9,25/09,September,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
30,9,30/09,September,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
18,10,18/10,October,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
11,11,11/11,November,0,0,0.0,0.0,0.0,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 0, 'other': 50}"
